0,5	0,4	0,3
4.244546059064399,6.9419850533339895	2.9204316158132366,4.032206610333931	-0.5971987868119067,0.270679694101773
4.769670044596692,7.365380913203607	3.633667046178403,3.2143681862382634	-2.297050665254986,-0.13719349985172272
4.643584272028651,7.426186449646759	3.528978200163538,2.690947995877797	-2.954640465786922,-0.17262703383951847
4.582271201677844,7.276565601908906	3.3309627951609992,2.288601180267529	-3.3033359039557535,-0.17064148294037002
4.529222665011375,7.129101234320598	3.1701108396408655,1.9840537418646722	-3.5135868295364223,-0.1673064063861911
4.4787475967242525,6.989968423758568	3.006820687494821,1.7176122969978076	-3.6966831027621083,-0.17389692260649073
4.440655904855452,6.857734711085292	2.8552741331469194,1.4786965926918443	-3.841826716493876,-0.1735619750641237
4.443654849601633,6.767936965269188	2.691089256647252,1.3189177942064234	-3.976644360961883,-0.16705316424167466
4.444488856670442,6.6734383539558975	2.5467508478999115,1.1704733421345441	-4.075617333954605,-0.15597209848852767
4.447912163742665,6.611158895452765	2.447864960600388,1.0722823686971208	-4.135963399666035,-0.14296525675744057
4.436180344506739,6.560637259161465	2.381194839003941,0.9840052651378854	-4.182486656190701,-0.13338514681375624
4.415968647761254,6.513550571900387	2.3156520020005487,0.8785246973739118	-4.2437342879015745,-0.11311067255798657
4.401661569152508,6.478704171301368	2.262683744582992,0.8057888065794804	-4.290401286652006,-0.10307790604741707
4.385958661961605,6.440887669603588	2.205212390597761,0.7403961331721827	-4.335169992115738,-0.10682887142883425
4.3852307942106235,6.433809637270804	2.1835974974527383,0.7245709714933379	-4.355229946815426,-0.10334271771415442
4.382910692831961,6.431001032554086	2.17227066990366,0.7197509463592774	-4.367697704503892,-0.10719791066375385
4.382252319150645,6.427546366709478	2.169557371045389,0.715327828336418	-4.367697704503892,-0.10719791066375385
4.380969221326554,6.4243403891200925	2.167761260401047,0.7105336340222641	-4.367697704503892,-0.10719791066375385
